Likely to Change Occupation,Geographic Mobility,Professional Networks,Job Satisfaction,Work-Life Balance,Skills Gap,Salary,Job Security,Years of Experience,Age,Job Opportunities,Industry Growth Rate
0,1,2,7,10,8,198266,8,7,48,83,High
0,1,2,10,3,3,96803,9,26,44,55,Low
0,0,2,8,3,4,65920,4,27,21,78,Low
0,0,9,7,9,2,85591,5,14,33,62,Medium
1,0,2,3,1,5,43986,3,0,28,8,Low
1,0,10,3,1,10,143252,3,39,56,99,Low
0,1,4,7,4,6,92623,7,29,51,13,Low
0,0,6,9,4,8,85016,3,32,58,77,High
1,0,10,1,5,6,123264,1,38,31,56,Low
0,0,3,8,5,6,119045,1,16,30,98,Medium
0,0,5,9,9,10,77254,10,38,52,50,High
0,0,2,8,1,6,190371,1,15,54,24,Medium
0,0,6,5,4,3,116416,1,35,54,8,High
1,0,5,3,4,5,139616,1,32,47,35,High
1,0,2,2,9,8,184165,10,22,40,95,Low
1,1,3,7,10,10,59592,8,38,28,99,Medium
0,0,5,6,10,6,61024,4,24,41,58,Low
1,0,5,2,10,10,116672,8,34,49,30,High
0,0,6,5,1,5,174572,7,24,53,16,High
0,0,10,5,7,10,86573,5,15,24,100,Medium
1,1,2,1,4,3,41938,1,15,35,24,Medium
0,1,5,10,10,4,95953,3,25,42,90,High
1,1,9,1,3,8,67841,1,23,56,36,Low
1,0,5,3,1,9,177851,9,24,39,100,High
1,1,9,7,5,10,51689,7,22,40,42,High
1,1,7,9,2,5,49065,2,12,26,27,Medium
1,1,7,10,3,2,45485,3,38,50,39,Medium
0,0,9,6,10,5,159695,5,32,44,44,High
0,0,4,10,8,4,53959,5,22,22,76,Low
1,0,1,3,6,2,86178,5,19,52,82,High
0,1,6,6,1,1,181456,2,25,30,77,High
0,0,2,5,9,1,75106,4,9,56,1,High
1,0,2,9,1,2,45254,5,4,31,47,Medium
0,0,6,7,10,10,73088,5,23,57,51,Medium
0,0,5,6,8,3,155827,8,15,42,4,Low
1,0,10,2,1,9,121865,9,4,25,78,Medium
0,0,2,7,8,8,177820,10,21,34,2,Medium
0,0,2,10,7,9,80448,7,24,34,57,High
0,0,4,5,6,6,78447,2,18,27,52,High
1,0,9,4,8,4,46389,2,30,22,95,High
1,0,6,4,1,6,198048,1,25,24,20,Low
1,1,2,4,1,8,138872,1,1,42,63,Medium
1,0,10,8,6,5,167023,8,34,53,60,High
0,0,3,8,3,1,132974,1,39,44,38,Low
1,0,2,1,4,9,170518,4,14,27,94,High
0,0,10,8,4,4,159038,8,30,57,56,High
0,1,5,10,10,8,103319,2,5,59,13,Low
1,0,5,6,7,4,106589,5,28,28,1,High
1,0,8,4,9,2,169649,7,25,29,90,Low
0,0,8,6,10,1,177313,5,28,43,28,Low
1,1,4,1,8,2,179521,1,31,38,19,High
1,0,8,2,1,8,135947,2,9,22,87,Low
1,0,1,8,8,6,114458,4,7,52,46,Low
0,0,5,5,4,7,133145,2,17,55,11,High
1,0,2,7,1,9,32573,9,9,43,81,Low
1,1,2,2,1,5,151829,10,35,40,37,Medium
0,1,7,10,2,10,180322,5,16,29,54,High
1,0,9,10,4,1,144130,3,21,43,20,High
0,1,1,7,3,3,58145,5,39,44,3,High
0,1,10,8,5,6,162822,5,15,31,81,Low
